movie_id,title,genres
0,Toy Story (1995),Animation|Children's|Comedy
1,Jumanji (1995),Adventure|Children's|Fantasy
2,Grumpier Old Men (1995),Comedy|Romance
3,Waiting to Exhale (1995),Comedy|Drama
4,Father of the Bride Part II (1995),Comedy
5,Heat (1995),Action|Crime|Thriller
6,Sabrina (1995),Comedy|Romance
7,Tom and Huck (1995),Adventure|Children's
8,Sudden Death (1995),Action
9,GoldenEye (1995),Action|Adventure|Thriller
10,"American President, The (1995)",Comedy|Drama|Romance
11,Dracula: Dead and Loving It (1995),Comedy|Horror
12,Balto (1995),Animation|Children's
13,Nixon (1995),Drama
14,Cutthroat Island (1995),Action|Adventure|Romance
15,Casino (1995),Drama|Thriller
16,Sense and Sensibility (1995),Drama|Romance
17,Four Rooms (1995),Thriller
18,Ace Ventura: When Nature Calls (1995),Comedy
19,Money Train (1995),Action
20,Get Shorty (1995),Action|Comedy|Drama
21,Copycat (1995),Crime|Drama|Thriller
22,Assassins (1995),Thriller
23,Powder (1995),Drama|Sci-Fi
24,Leaving Las Vegas (1995),Drama|Romance
25,Othello (1995),Drama
26,Now and Then (1995),Drama
27,Persuasion (1995),Romance
28,"City of Lost Children, The (1995)",Adventure|Sci-Fi
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
30,Dangerous Minds (1995),Drama
31,Twelve Monkeys (1995),Drama|Sci-Fi
32,Babe (1995),Children's|Comedy|Drama
33,Carrington (1995),Drama|Romance
34,Dead Man Walking (1995),Drama
35,Across the Sea of Time (1995),Documentary
36,It Takes Two (1995),Comedy
37,Clueless (1995),Comedy|Romance
38,"Cry, the Beloved Country (1995)",Drama
39,Richard III (1995),Drama|War
40,Dead Presidents (1995),Action|Crime|Drama
41,Restoration (1995),Drama
42,Mortal Kombat (1995),Action|Adventure
43,To Die For (1995),Comedy|Drama
44,How to Make an American Quilt (1995),Drama|Romance
45,Seven (Se7en) (1995),Crime|Thriller
46,Pocahontas (1995),Animation|Children's|Musical|Romance
47,When Night Is Falling (1995),Drama|Romance
48,"Usual Suspects, The (1995)",Crime|Thriller
49,Mighty Aphrodite (1995),Comedy
50,Lamerica (1994),Drama
51,"Big Green, The (1995)",Children's|Comedy
52,Georgia (1995),Drama
53,Kids of the Round Table (1995),Adventure|Children's|Fantasy
54,Home for the Holidays (1995),Drama
55,"Postino, Il (The Postman) (1994)",Drama|Romance
56,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
57,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
58,Eye for an Eye (1996),Drama|Thriller
59,Mr. Holland's Opus (1995),Drama
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
61,Two if by Sea (1996),Comedy|Romance
62,Bio-Dome (1996),Comedy
63,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
64,French Twist (Gazon maudit) (1995),Comedy|Romance
65,Friday (1995),Comedy
66,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
67,Fair Game (1995),Action
68,Kicking and Screaming (1995),Comedy|Drama
69,"Misérables, Les (1995)",Drama|Musical
70,Bed of Roses (1996),Drama|Romance
71,Big Bully (1996),Comedy|Drama
72,Screamers (1995),Sci-Fi|Thriller
73,Nico Icon (1995),Documentary
74,"Crossing Guard, The (1995)",Drama
75,"Juror, The (1996)",Drama|Thriller
76,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
77,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
78,Antonia's Line (Antonia) (1995),Drama
79,Once Upon a Time... When We Were Colored (1995),Drama
80,Last Summer in the Hamptons (1995),Comedy|Drama
81,Angels and Insects (1995),Drama|Romance
82,White Squall (1996),Adventure|Drama
83,Dunston Checks In (1996),Children's|Comedy
84,Black Sheep (1996),Comedy
85,Nick of Time (1995),Action|Thriller
86,"Journey of August King, The (1995)",Drama
87,Mary Reilly (1996),Drama|Thriller
88,Vampire in Brooklyn (1995),Comedy|Romance
89,Beautiful Girls (1996),Drama
90,Broken Arrow (1996),Action|Thriller
91,In the Bleak Midwinter (1995),Comedy
92,"Hate (Haine, La) (1995)",Drama
93,Shopping (1994),Action|Thriller
94,Heidi Fleiss: Hollywood Madam (1995),Documentary
95,City Hall (1996),Drama|Thriller
96,Bottle Rocket (1996),Comedy
97,Mr. Wrong (1996),Comedy
98,Unforgettable (1996),Thriller
99,Happy Gilmore (1996),Comedy
100,"Bridges of Madison County, The (1995)",Drama|Romance
