movie_id,code_level_0,code_level_1,code_level_2
0,5,22,20
1,28,7,1
2,0,18,22
3,26,21,1
4,8,1,25
5,14,13,1
6,0,21,29
7,1,18,3
8,31,21,19
9,20,30,31
10,29,12,23
11,8,8,19
12,5,10,21
13,2,21,19
14,17,23,5
15,22,3,29
16,15,3,23
17,27,21,29
18,8,1,25
19,31,18,3
20,26,9,21
21,22,1,25
22,27,13,12
23,2,21,12
24,15,18,23
25,2,21,1
26,2,21,25
27,29,21,2
28,4,23,20
29,2,18,12
30,2,21,25
31,2,25,2
32,30,22,2
33,15,21,19
34,2,21,23
35,19,21,22
36,8,18,12
37,0,3,23
38,2,18,23
39,2,1,1
40,2,9,7
41,2,21,25
42,10,10,19
43,26,18,1
44,15,3,1
45,27,1,0
46,11,15,5
47,15,21,1
48,27,21,7
49,8,3,25
50,2,21,19
51,9,18,22
52,2,18,12
53,1,1,7
54,2,18,12
55,15,21,19
56,2,1,25
57,1,25,19
58,22,3,25
59,2,3,25
60,8,18,19
61,0,18,23
62,8,21,19
63,21,12,3
64,0,18,30
65,8,3,23
66,14,13,31
67,31,13,19
68,26,21,25
69,2,1,23
70,15,21,22
71,26,21,23
72,27,23,11
73,19,21,19
74,2,21,12
75,22,21,25
76,2,21,1
77,15,18,29
78,2,21,12
79,2,21,12
80,26,18,29
81,15,21,29
82,6,25,20
83,9,18,2
84,8,21,23
85,14,3,1
86,2,1,22
87,22,21,22
88,0,18,30
89,2,21,23
90,14,25,29
91,8,18,23
92,2,21,23
93,14,13,21
94,19,3,12
95,22,3,22
96,8,21,29
97,8,18,12
98,27,3,21
99,8,21,25
100,15,3,30
101,26,21,25
102,1,26,30
103,19,21,1
104,6,25,30
105,22,3,29
106,17,0,2
107,2,1,25
108,2,3,25
109,19,21,22
110,19,18,21
111,0,1,25
112,8,3,12
113,2,21,25
114,0,18,23
115,15,3,30
116,2,21,19
117,8,21,23
118,28,3,10
119,19,21,25
120,0,18,25
121,15,21,29
122,27,3,22
123,8,18,12
124,19,3,19
125,19,21,7
126,15,18,23
127,8,21,25
128,8,21,19
129,31,13,23
130,28,7,17
131,2,21,1
132,2,21,1
133,22,13,12
134,2,1,12
135,15,3,1
136,7,12,25
137,17,21,22
138,2,21,19
139,2,1,12
140,8,18,19
141,8,1,25
142,24,9,10
143,2,1,23
144,10,16,26
145,22,21,13
146,19,18,25
147,14,3,19
148,27,0,19
149,14,25,30
150,26,1,23
151,2,18,12
152,17,29,5
153,1,29,11
154,14,13,25
155,8,3,12
156,12,15,20
157,10,23,22
158,8,21,25
159,2,21,25
160,8,21,12
161,7,21,19
162,8,21,19
163,15,3,23
164,8,3,23
165,1,9,17
166,15,21,23
167,27,3,29
168,2,1,25
169,27,23,11
170,8,18,23
171,8,21,25
172,7,3,25
173,8,3,25
174,27,13,20
175,2,21,12
176,2,21,12
177,2,18,12
178,29,12,1
179,7,0,22
180,2,18,12
181,18,16,26
182,2,1,23
183,27,3,25
184,2,21,19
185,15,1,29
186,8,18,25
187,18,16,10
188,26,21,29
189,19,18,12
190,15,3,25
191,10,10,21
192,2,21,19
193,19,21,7
194,2,21,1
195,8,21,25
196,2,18,12
197,2,18,29
198,15,18,29
199,8,21,25
200,22,13,12
201,26,21,23
202,2,21,25
203,7,18,1
204,15,13,23
205,8,3,12
206,29,12,1
207,22,3,22
208,31,1,23
209,8,21,29
210,22,3,19
211,22,3,25
212,8,3,23
213,26,21,23
214,2,18,29
215,8,1,23
216,26,21,23
217,0,18,23
218,0,18,23
219,1,9,20
220,5,26,5
221,27,13,12
222,30,3,1
223,2,1,12
224,8,3,23
225,5,14,12
226,2,21,19
227,19,21,23
228,15,17,3
229,8,21,12
230,15,3,23
231,9,18,2
232,31,21,25
233,0,18,12
234,2,21,23
235,2,21,12
236,8,21,23
237,8,1,12
238,27,18,12
